code,name,time,price,volume,preprice,type
000158,常山北明,15:00:03,9.36,1282200,9.31,中性盘
000158,常山北明,14:56:18,9.3,61500,9.3,卖盘
000158,常山北明,14:56:15,9.3,164200,9.29,买盘
000158,常山北明,14:56:03,9.3,61100,9.29,买盘
000158,常山北明,14:55:27,9.3,68400,9.3,买盘
000158,常山北明,14:54:30,9.3,54400,9.3,卖盘
000158,常山北明,14:54:18,9.3,97000,9.31,卖盘
000158,常山北明,14:53:30,9.3,118900,9.28,买盘
000158,常山北明,14:53:27,9.28,174900,9.28,卖盘
000158,常山北明,14:53:15,9.28,150100,9.29,卖盘
000158,常山北明,14:53:12,9.29,87000,9.28,买盘
000158,常山北明,14:52:51,9.29,51500,9.29,买盘
000158,常山北明,14:52:39,9.28,87400,9.28,卖盘
000158,常山北明,14:52:30,9.29,54600,9.28,买盘
000158,常山北明,14:51:24,9.28,178700,9.29,卖盘
000158,常山北明,14:51:21,9.29,94000,9.3,卖盘
000158,常山北明,14:49:39,9.29,66100,9.28,买盘
000158,常山北明,14:48:27,9.31,74100,9.3,买盘
000158,常山北明,14:48:24,9.3,114100,9.3,卖盘
000158,常山北明,14:48:21,9.3,78700,9.31,卖盘
000158,常山北明,14:48:18,9.31,82300,9.31,卖盘
000158,常山北明,14:48:06,9.32,98600,9.33,卖盘
000158,常山北明,14:48:03,9.33,87700,9.33,买盘
000158,常山北明,14:41:30,9.35,67300,9.35,买盘
000158,常山北明,14:40:27,9.34,79600,9.34,买盘
000158,常山北明,14:39:24,9.31,50400,9.31,买盘
000158,常山北明,14:37:21,9.31,50000,9.32,卖盘
000158,常山北明,14:36:06,9.32,67700,9.33,卖盘
000158,常山北明,14:36:00,9.33,55000,9.34,卖盘
000158,常山北明,14:35:00,9.32,114900,9.32,买盘
000158,常山北明,14:33:12,9.3,69700,9.3,卖盘
000158,常山北明,14:31:12,9.32,56300,9.3,买盘
000158,常山北明,14:30:48,9.32,90900,9.33,卖盘
000158,常山北明,14:25:24,9.35,58000,9.36,卖盘
000158,常山北明,14:25:15,9.35,65300,9.36,卖盘
000158,常山北明,14:24:57,9.39,53800,9.39,买盘
000158,常山北明,14:23:24,9.36,54000,9.38,卖盘
000158,常山北明,14:23:21,9.38,66000,9.38,卖盘
000158,常山北明,14:23:18,9.38,65800,9.39,卖盘
000158,常山北明,14:22:42,9.39,52800,9.36,买盘
000158,常山北明,14:22:24,9.38,85900,9.39,卖盘
000158,常山北明,14:22:00,9.41,52600,9.41,买盘
000158,常山北明,14:21:24,9.41,106799,9.4,买盘
000158,常山北明,14:21:18,9.41,79600,9.42,卖盘
000158,常山北明,14:21:12,9.43,72500,9.43,卖盘
000158,常山北明,14:21:09,9.43,158200,9.45,卖盘
000158,常山北明,14:21:06,9.45,151600,9.47,卖盘
000158,常山北明,14:20:57,9.47,59300,9.44,买盘
000158,常山北明,14:20:45,9.49,621800,9.43,买盘
000158,常山北明,14:20:30,9.43,56300,9.43,买盘
000158,常山北明,14:20:03,9.42,51600,9.41,买盘
000158,常山北明,14:19:36,9.4,52000,9.4,卖盘
000158,常山北明,14:19:15,9.4,114000,9.39,买盘
000158,常山北明,14:19:12,9.39,97401,9.4,卖盘
000158,常山北明,14:18:36,9.41,88400,9.39,买盘
000158,常山北明,14:18:30,9.4,86997,9.38,买盘
000158,常山北明,14:18:24,9.38,56100,9.38,卖盘
000158,常山北明,14:18:09,9.39,97800,9.38,买盘
000158,常山北明,14:17:45,9.38,138600,9.39,卖盘
000158,常山北明,14:17:36,9.4,55600,9.38,买盘
000158,常山北明,14:17:03,9.39,61100,9.4,卖盘
000158,常山北明,14:16:57,9.4,268200,9.39,买盘
000158,常山北明,14:16:54,9.39,91457,9.37,买盘
000158,常山北明,14:16:51,9.37,144000,9.35,中性盘
000158,常山北明,14:16:48,9.35,450400,9.35,卖盘
000158,常山北明,14:16:42,9.34,63600,9.35,卖盘
000158,常山北明,14:16:39,9.35,56900,9.34,买盘
000158,常山北明,14:16:36,9.34,53000,9.34,买盘
000158,常山北明,14:15:27,9.35,89200,9.35,卖盘
000158,常山北明,14:15:18,9.36,74600,9.36,卖盘
000158,常山北明,14:15:00,9.36,61000,9.36,买盘
000158,常山北明,14:14:45,9.37,95700,9.35,买盘
000158,常山北明,14:14:36,9.36,90300,9.35,买盘
000158,常山北明,14:14:06,9.34,59200,9.35,卖盘
000158,常山北明,14:14:03,9.35,63800,9.35,买盘
000158,常山北明,14:13:48,9.35,123200,9.34,买盘
000158,常山北明,14:13:39,9.35,123100,9.36,卖盘
000158,常山北明,14:13:18,9.36,161200,9.35,买盘
000158,常山北明,14:13:12,9.33,63200,9.35,卖盘
000158,常山北明,14:13:09,9.35,134100,9.37,卖盘
000158,常山北明,14:13:06,9.37,195100,9.38,中性盘
000158,常山北明,14:13:03,9.38,56600,9.37,买盘
000158,常山北明,14:13:00,9.37,75400,9.36,买盘
000158,常山北明,14:12:57,9.36,620400,9.35,买盘
000158,常山北明,14:12:54,9.35,185000,9.34,买盘
000158,常山北明,14:12:51,9.34,198600,9.33,买盘
000158,常山北明,14:12:48,9.33,217700,9.3,买盘
000158,常山北明,14:12:45,9.3,202200,9.3,卖盘
000158,常山北明,14:11:54,9.3,140800,9.29,买盘
000158,常山北明,14:11:15,9.29,105500,9.3,卖盘
000158,常山北明,14:10:45,9.3,65500,9.28,买盘
000158,常山北明,14:10:33,9.29,120800,9.28,买盘
000158,常山北明,14:10:24,9.29,79700,9.28,买盘
000158,常山北明,14:09:42,9.29,79600,9.3,卖盘
000158,常山北明,14:09:09,9.3,67100,9.3,买盘
000158,常山北明,14:08:00,9.3,74200,9.3,卖盘
000158,常山北明,14:07:48,9.32,83200,9.32,买盘
000158,常山北明,14:07:39,9.32,118200,9.3,买盘
000158,常山北明,14:07:36,9.3,156700,9.3,买盘
000158,常山北明,14:07:33,9.3,143700,9.3,买盘
000158,常山北明,14:07:30,9.3,141900,9.29,买盘
000158,常山北明,14:07:24,9.28,305000,9.29,卖盘
000158,常山北明,14:06:09,9.29,86800,9.28,买盘
000158,常山北明,14:03:00,9.25,83600,9.26,中性盘
000158,常山北明,14:02:45,9.26,343300,9.26,卖盘
000158,常山北明,14:02:36,9.26,55900,9.25,买盘
000158,常山北明,14:02:06,9.24,64700,9.24,买盘
000158,常山北明,14:01:18,9.24,94700,9.25,卖盘
000158,常山北明,13:57:51,9.23,72400,9.23,卖盘
000158,常山北明,13:50:48,9.25,60900,9.25,买盘
000158,常山北明,13:47:00,9.25,104200,9.24,买盘
000158,常山北明,13:33:24,9.24,56900,9.23,买盘
000158,常山北明,13:32:27,9.2,54800,9.22,卖盘
000158,常山北明,13:31:54,9.25,117600,9.22,买盘
000158,常山北明,13:31:00,9.21,80000,9.2,买盘
000158,常山北明,13:30:57,9.2,52000,9.2,买盘
000158,常山北明,13:30:27,9.2,165100,9.21,卖盘
000158,常山北明,13:30:24,9.21,57700,9.21,卖盘
000158,常山北明,13:30:18,9.22,111400,9.24,卖盘
000158,常山北明,13:30:15,9.24,91000,9.24,卖盘
000158,常山北明,13:21:12,9.31,89900,9.31,买盘
000158,常山北明,13:21:03,9.31,112100,9.3,买盘
000158,常山北明,13:21:00,9.3,63200,9.3,卖盘
000158,常山北明,13:20:45,9.3,61800,9.29,买盘
000158,常山北明,13:20:36,9.3,51000,9.29,买盘
000158,常山北明,13:19:48,9.28,55700,9.28,卖盘
000158,常山北明,13:16:54,9.26,52500,9.3,卖盘
000158,常山北明,13:16:48,9.29,94100,9.29,卖盘
000158,常山北明,13:16:39,9.31,85600,9.29,买盘
000158,常山北明,13:15:36,9.28,91700,9.3,卖盘
000158,常山北明,13:15:15,9.29,56900,9.29,买盘
000158,常山北明,13:14:12,9.31,92300,9.31,买盘
000158,常山北明,13:14:06,9.32,57400,9.29,买盘
000158,常山北明,13:14:03,9.29,339200,9.31,中性盘
000158,常山北明,13:14:00,9.31,74700,9.31,买盘
000158,常山北明,13:13:57,9.31,110600,9.33,卖盘
000158,常山北明,13:13:54,9.33,95100,9.34,中性盘
000158,常山北明,13:13:51,9.34,71500,9.34,买盘
000158,常山北明,13:13:45,9.33,571120,9.3,买盘
000158,常山北明,13:13:42,9.3,491500,9.3,买盘
000158,常山北明,13:13:39,9.3,226520,9.28,买盘
000158,常山北明,13:12:30,9.26,74300,9.25,买盘
000158,常山北明,13:11:39,9.27,65400,9.26,买盘
000158,常山北明,13:10:54,9.26,169100,9.26,买盘
000158,常山北明,13:10:03,9.26,62500,9.26,买盘
000158,常山北明,13:09:36,9.24,66400,9.25,卖盘
000158,常山北明,13:08:24,9.26,55400,9.27,卖盘
000158,常山北明,13:07:24,9.25,72500,9.26,卖盘
000158,常山北明,13:06:42,9.24,53000,9.24,卖盘
000158,常山北明,13:06:00,9.24,101400,9.25,卖盘
000158,常山北明,13:05:24,9.22,248800,9.23,中性盘
000158,常山北明,13:05:21,9.23,175600,9.22,买盘
000158,常山北明,13:05:09,9.23,54900,9.23,卖盘
000158,常山北明,13:05:06,9.23,108500,9.23,买盘
000158,常山北明,13:05:03,9.23,100100,9.26,卖盘
000158,常山北明,13:03:39,9.25,110900,9.25,卖盘
000158,常山北明,13:02:12,9.27,65200,9.28,卖盘
000158,常山北明,13:02:09,9.28,107200,9.27,买盘
000158,常山北明,13:01:18,9.28,224900,9.24,买盘
000158,常山北明,13:00:24,9.27,62200,9.29,卖盘
000158,常山北明,13:00:12,9.3,51100,9.28,买盘
000158,常山北明,13:00:06,9.3,162300,9.28,买盘
000158,常山北明,13:00:03,9.28,176000,9.28,买盘
000158,常山北明,13:00:00,9.28,54700,9.27,买盘
000158,常山北明,11:29:33,9.25,60000,9.23,买盘
000158,常山北明,11:27:33,9.21,81900,9.2,买盘
000158,常山北明,11:22:27,9.18,72000,9.2,卖盘
000158,常山北明,11:21:18,9.19,67500,9.19,买盘
000158,常山北明,11:20:45,9.19,71700,9.2,卖盘
000158,常山北明,11:13:03,9.29,127500,9.28,买盘
000158,常山北明,11:12:51,9.28,355200,9.26,买盘
000158,常山北明,11:10:06,9.27,53200,9.28,卖盘
000158,常山北明,11:10:03,9.28,121900,9.26,买盘
000158,常山北明,11:10:00,9.26,51500,9.26,买盘
000158,常山北明,11:09:57,9.26,262263,9.25,买盘
000158,常山北明,11:09:54,9.25,160900,9.24,买盘
000158,常山北明,11:09:51,9.24,54900,9.23,买盘
000158,常山北明,11:09:15,9.23,66400,9.23,买盘
000158,常山北明,10:55:33,9.22,396700,9.18,买盘
000158,常山北明,10:51:54,9.19,54500,9.18,买盘
000158,常山北明,10:49:33,9.2,152900,9.2,卖盘
000158,常山北明,10:48:45,9.2,80800,9.21,卖盘
000158,常山北明,10:38:45,9.23,88300,9.22,买盘
000158,常山北明,10:38:03,9.21,50900,9.21,卖盘
000158,常山北明,10:37:30,9.2,60600,9.21,卖盘
000158,常山北明,10:37:15,9.19,71300,9.21,卖盘
000158,常山北明,10:34:45,9.2,60600,9.21,卖盘
000158,常山北明,10:34:12,9.22,52900,9.22,买盘
000158,常山北明,10:33:51,9.22,65500,9.22,买盘
000158,常山北明,10:33:39,9.22,57100,9.2,买盘
000158,常山北明,10:33:06,9.22,51600,9.21,买盘
000158,常山北明,10:31:57,9.2,54100,9.19,买盘
000158,常山北明,10:31:24,9.2,55300,9.2,买盘
000158,常山北明,10:28:09,9.19,54800,9.17,买盘
000158,常山北明,10:27:36,9.2,59300,9.18,买盘
000158,常山北明,10:24:51,9.18,110100,9.17,买盘
000158,常山北明,10:24:48,9.17,67400,9.16,买盘
000158,常山北明,10:22:12,9.16,53512,9.15,买盘
000158,常山北明,10:19:39,9.18,83210,9.19,卖盘
000158,常山北明,10:13:12,9.23,54000,9.23,买盘
000158,常山北明,10:11:06,9.2,72500,9.2,卖盘
000158,常山北明,10:11:03,9.2,75100,9.21,卖盘
000158,常山北明,10:08:48,9.22,56400,9.23,卖盘
000158,常山北明,10:08:24,9.23,92200,9.23,买盘
000158,常山北明,10:07:36,9.25,55800,9.24,买盘
000158,常山北明,10:07:18,9.25,55200,9.25,卖盘
000158,常山北明,10:06:54,9.27,73900,9.26,买盘
000158,常山北明,10:06:45,9.26,98500,9.27,卖盘
000158,常山北明,10:06:12,9.28,76000,9.27,买盘
000158,常山北明,10:05:54,9.27,94200,9.26,买盘
000158,常山北明,10:05:45,9.26,86400,9.27,卖盘
000158,常山北明,10:05:27,9.25,63800,9.26,卖盘
000158,常山北明,10:05:06,9.26,69600,9.25,买盘
000158,常山北明,10:04:03,9.28,86600,9.29,卖盘
000158,常山北明,10:03:48,9.26,62100,9.28,卖盘
000158,常山北明,10:03:45,9.28,85500,9.27,买盘
000158,常山北明,10:03:36,9.28,54800,9.29,买盘
000158,常山北明,10:03:24,9.28,118400,9.3,卖盘
000158,常山北明,10:03:21,9.3,189700,9.3,买盘
000158,常山北明,10:03:18,9.3,106200,9.3,卖盘
000158,常山北明,10:03:15,9.3,78200,9.29,买盘
000158,常山北明,10:03:09,9.3,107700,9.29,买盘
000158,常山北明,10:03:06,9.29,58800,9.29,中性盘
000158,常山北明,10:02:54,9.25,524700,9.25,买盘
000158,常山北明,10:02:48,9.24,65600,9.26,卖盘
000158,常山北明,10:02:45,9.26,1043500,9.24,买盘
000158,常山北明,10:02:42,9.24,78400,9.24,买盘
000158,常山北明,10:02:39,9.24,65300,9.24,买盘
000158,常山北明,10:02:27,9.24,431000,9.22,买盘
000158,常山北明,10:02:24,9.22,61300,9.21,买盘
000158,常山北明,10:02:21,9.21,164200,9.21,买盘
000158,常山北明,10:02:18,9.21,294200,9.19,买盘
000158,常山北明,10:02:15,9.19,130800,9.2,卖盘
000158,常山北明,10:01:42,9.2,72600,9.18,买盘
000158,常山北明,10:00:54,9.17,77400,9.17,卖盘
000158,常山北明,10:00:51,9.17,71000,9.17,卖盘
000158,常山北明,10:00:18,9.17,79700,9.17,卖盘
000158,常山北明,10:00:00,9.17,53700,9.18,卖盘
000158,常山北明,09:58:27,9.2,64000,9.21,卖盘
000158,常山北明,09:57:33,9.2,67100,9.2,卖盘
000158,常山北明,09:57:18,9.18,138300,9.19,卖盘
000158,常山北明,09:57:06,9.19,52100,9.19,买盘
000158,常山北明,09:57:00,9.2,115300,9.18,买盘
000158,常山北明,09:56:45,9.18,62000,9.19,卖盘
000158,常山北明,09:56:33,9.2,54400,9.2,卖盘
000158,常山北明,09:56:30,9.2,54900,9.21,卖盘
000158,常山北明,09:56:24,9.2,56000,9.2,卖盘
000158,常山北明,09:55:48,9.19,177000,9.19,买盘
000158,常山北明,09:55:42,9.2,57500,9.2,卖盘
000158,常山北明,09:55:39,9.2,117500,9.21,卖盘
000158,常山北明,09:55:27,9.23,171100,9.2,买盘
