code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
688599,天合光能,1.188,16.18,16.03,16.48,15.66,15.99,57004790,19.9849,917641935,0.0,2.34,3346066.67475,461517.20358
688598,金博股份,-0.523,85.65,85.88,86.87,85.0,86.1,1455225,7.95894,124840192,65.103,16.503,685200.0,156603.74475
688588,凌志软件,0.592,44.19,44.0,45.29,43.8,43.93,4788550,13.25025,213158540,106.175,22.318,1767644.203257,159699.69927
688566,吉贝尔,-4.681,44.8,46.4,46.5,44.44,47.0,6078354,15.80339,275601708,0.0,12.837,837498.368,172311.24736
688516,奥特维,-0.707,53.39,53.58,54.82,53.32,53.77,2203186,10.89588,118922463,53.929,8.57,526799.13,107956.496701
688466,金科环境,-0.06,50.05,48.8,52.37,47.31,50.08,7516615,32.13261,377639054,51.598,11.375,514313.8,117079.38242
688399,硕世生物,-3.735,222.18,232.5,235.8,215.6,230.8,2384167,17.11903,527674371,120.097,11.583,1302419.16,309430.086
688398,赛特新材,-1.812,59.06,60.25,60.64,58.48,60.15,1167309,6.41338,69207532,47.629,6.079,472480.0,107495.93284
688396,华润微,1.638,39.1,38.44,39.33,38.32,38.47,11345764,4.78448,441573968,85.764,5.063,4754267.51245,927205.62308
688389,普门科技,-5.954,29.38,30.85,31.1,29.3,31.24,3690904,10.09823,110500267,113.0,11.408,1240423.6,107383.9
688388,嘉元科技,5.069,54.72,52.32,54.83,51.3,52.08,3282198,5.89508,174007429,32.766,4.96,1263353.472,304663.766976
688369,致远互联,-2.795,70.59,71.8,72.57,69.51,72.62,1491681,8.08932,105515036,44.119,4.449,543469.466397,130168.80708
688368,XD晶丰明,-1.985,78.51,79.0,79.64,77.7,80.1,688142,4.68305,53981113,41.54,4.196,483621.6,115365.004257
688366,昊海生科,-3.89,87.46,89.47,90.57,85.88,91.0,1229473,8.01086,107093530,38.529,2.89,1555434.9938,134229.943426
688365,光云科技,-0.804,59.19,59.89,61.52,58.6,59.67,3976260,12.31353,238651029,219.222,28.83,2373519.0,191135.187876
688363,华熙生物,-4.268,130.77,136.2,137.86,129.58,136.6,2440030,5.07539,322873531,97.59,13.478,6276960.0,628685.66736
688360,德马科技,-1.966,60.34,60.3,62.39,60.08,61.55,2626444,13.48656,160072137,60.34,10.786,516972.598366,117509.332122
688358,祥生医疗,-3.701,74.94,77.03,78.37,73.8,77.82,1301480,6.77854,97765707,44.082,5.041,599520.0,143884.8
688357,建龙微纳,-0.669,50.46,50.19,51.01,50.17,50.8,589174,4.28896,29799115,26.145,3.293,291759.72,69316.902
688333,铂力特,-0.667,52.15,55.0,55.55,51.96,52.5,2035263,10.71191,109340759,47.844,3.961,417200.0,99085.0
688321,微芯生物,-3.851,59.42,61.8,62.28,58.5,61.8,2900156,6.74455,173600888,1151.55,16.784,2436220.0,255506.0
688318,财富趋势,1.228,263.0,260.88,270.75,255.77,259.81,2674588,17.37908,705907241,75.575,13.319,1753421.0,404748.9785
688312,燕麦科技,1.724,53.09,52.1,54.58,51.8,52.19,7358566,23.70626,392685979,0.0,10.957,761728.397064,164794.587872
688310,迈得医疗,-4.328,35.59,37.2,37.5,35.37,37.2,2200307,11.08188,79455826,48.753,4.175,297532.4,70663.945
688300,联瑞新材,6.109,61.31,58.5,63.94,57.57,57.78,2553514,12.50574,155632876,54.257,5.767,527102.9154,125187.23363
688299,长阳科技,0.707,27.08,26.9,27.43,26.62,26.89,4617257,6.81769,124537132,42.313,4.645,765195.706516,183398.276376
688298,东方生物,-6.34,132.67,140.05,144.39,128.0,141.65,4080324,14.96671,548262088,145.791,18.801,1592040.0,361693.803089
688288,鸿泉物联,1.75,40.71,39.96,41.84,39.4,40.01,2932958,13.80216,119871168,46.261,4.73,407100.0,86508.75
688278,特宝生物,10.92,68.36,60.0,68.36,54.88,61.63,5878645,15.38708,357467754,379.778,30.347,2780884.8,261169.933716
688268,华特气体,0.509,79.0,78.6,81.98,78.0,78.6,3331417,12.23566,266549262,97.531,7.825,948000.0,215094.1532
688266,泽璟制药,-5.466,76.62,80.81,80.81,76.62,81.05,2879544,5.25388,224038564,-29.813,9.893,1838880.0,419938.237068
688258,卓易信息,1.009,89.09,88.3,89.48,87.32,88.2,919995,4.4547,81481047,141.413,8.957,774696.269219,183990.80616
688233,神工股份,1.161,52.28,51.76,53.23,51.6,51.68,2179997,5.96171,114356659,81.688,7.352,836480.0,191170.535076
688228,开普云,-2.027,73.47,74.51,75.33,73.25,74.99,1265346,8.7187,93641843,47.4,4.356,493229.38368,106627.113858
688222,成都先导,-5.581,52.78,55.2,55.47,52.11,55.9,3328934,9.60789,177139651,159.939,36.463,2114789.04,182871.742872
688218,江苏北人,-1.0,27.72,28.0,28.44,27.56,28.0,1220668,4.5419599999999996,33987524,47.793,3.918,325266.48,74498.51178
688208,道通科技,-0.696,49.96,50.7,50.7,49.18,50.31,1158992,2.5556200000000002,57692535,60.927,9.676,2248200.0,226571.752476
688202,美迪西,-5.061,116.3,123.38,125.25,114.63,122.5,989885,7.5133600000000005,116692393,85.515,7.151,721060.0,153225.25
688200,华峰测控,1.746,257.0,250.0,259.77,247.11,252.59,678771,5.12548,173595917,113.216,7.957,1572459.2802,340347.1303
688199,久日新材,-0.502,57.49,57.5,58.47,57.06,57.78,1026593,3.79924,59247029,20.172,2.374,639442.8732,155343.61402
688198,佰仁医疗,0.844,91.95,91.18,95.36,83.5,91.18,2270063,11.12776,202189569,104.489,11.395,882720.0,187578.0
688196,卓越新能,-0.583,39.25,39.15,40.33,39.01,39.48,1339246,4.65016,53032931,16.845,2.238,471000.0,113040.0
688189,南新制药,-6.93,52.38,55.62,56.16,52.0,56.28,6256901,19.52251,335783690,60.207,4.908,733320.0,167876.202888
688188,柏楚电子,-0.189,148.04,147.79,149.29,147.21,148.32,425808,1.7650000000000001,63174199,50.014,6.728,1480400.0,357148.12844
688186,广大特材,-2.55,36.3,37.25,38.98,36.2,37.25,6521900,17.15418,244980181,31.565,3.552,598224.0,138010.04085
688181,八亿时空,3.083,61.52,59.5,63.29,59.08,59.68,2176674,10.73212,134129556,40.474,3.731,593501.982128,124773.97196
688178,万德斯,-1.372,42.42,43.29,44.0,42.15,43.01,1352606,6.99548,58360141,21.754,3.441,360560.854248,82020.911028
688177,百奥泰,-7.591,56.0,59.98,59.98,55.3,60.6,5748956,10.52625,328324184,-18.919,9.606,2318848.0,305846.2512
688169,石头科技,0.556,375.88,372.99,376.5,371.01,373.8,360005,2.3175499999999998,134661201,24.003,4.191,2505866.679196,583886.72968
688168,安博通,-1.189,94.76,95.92,96.31,94.23,95.9,484120,3.98281,46027880,53.537,4.86,484981.68,115183.149
688166,博瑞医药,-4.171,54.91,57.3,58.44,54.8,57.3,2352873,6.04075,131053835,183.033,16.713,2251310.0,213874.45
688159,有方科技,2.963,55.6,54.0,56.97,53.98,54.0,2191270,11.74273,122391346,69.561,5.567,509737.9922,103753.2418
688158,优刻得,-2.393,73.0,73.42,74.5,72.33,74.79,2429743,5.5551,177737695,1216.667,8.668,3084484.7972,319294.189
688157,松井股份,7.981,101.88,104.0,110.95,101.36,94.35,7705471,42.56063,807969098,65.308,15.024,810964.8,184450.622472
688139,海尔生物,-0.199,50.15,49.5,51.44,48.0,50.25,6332185,8.32118,312545631,68.699,6.298,1590114.86637,381627.56833
688138,清溢光电,-0.433,25.29,24.97,25.82,24.97,25.4,5859110,9.23276,148861910,74.382,5.9190000000000005,674737.2,160490.34
688128,中国电研,-1.078,20.18,20.68,20.93,20.04,20.4,3625977,7.57444,74002566,28.829,3.768,816281.0,96604.099762
688126,沪硅产业,-1.158,29.87,29.66,31.6,29.66,30.22,82958023,18.4425,2555917772,-597.4,13.142,7408536.62,1343612.038313
688123,聚辰股份,0.827,71.95,70.52,72.95,70.5,71.36,1914805,6.94554,138051557,68.524,6.446,869457.233065,198357.68868
688122,西部超导,-0.764,35.07,35.03,35.44,34.8,35.34,1590083,3.78681,55816163,92.071,5.946,1547540.904,147258.93
688118,普元信息,-1.333,40.72,41.49,41.49,40.39,41.27,1692496,7.46992,68986080,58.59,4.138,388468.8,92261.34
688116,天奈科技,1.449,42.0,41.4,42.08,40.35,41.4,3162770,5.70233,131255741,72.414,6.107,973804.0872,232951.0218
688111,金山办公,4.191,272.98,263.0,275.0,260.09,262.0,1592220,2.25208,430771107,250.44,20.354,12584378.0,1929968.6
688108,赛诺医疗,-7.652,21.12,22.72,22.72,20.08,22.87,11869699,24.98884,252435652,88.0,7.825,865920.0,100320.0
688106,金宏气体,-0.026,38.8,38.22,40.0,36.36,38.81,37141747,36.46485,1420304752,79.184,16.875,1879213.592,395202.4052
688101,XD三达膜,-0.457,21.77,22.35,23.79,21.7,21.87,17503693,21.82937,397475062,20.346,2.257,726856.76,174560.85101
688100,威胜信息,2.382,27.51,27.1,28.77,27.1,26.87,4521930,11.30907,126797713,57.313,6.248,1375500.0,109998.693735
688099,晶晨股份,0.241,54.17,54.03,54.98,53.77,54.04,1229607,3.10809,66925498,132.122,8.023,2227037.04,214304.965103
688098,申联生物,-4.055,21.06,21.7,22.46,20.78,21.95,6568792,13.53221,141054007,100.286,6.485,862828.2,102229.2414
688096,京源环保,-3.126,26.34,26.88,27.42,26.13,27.19,3211695,13.15191,85224380,34.208,5.668,282611.079,64322.235222
688090,瑞松科技,-1.038,65.81,66.5,66.5,65.3,66.5,809710,5.28391,53269588,54.388,4.768,443300.029628,100847.691508
688089,嘉必优,-6.614,47.02,50.02,51.21,46.7,50.35,3935219,15.38302,188736504,35.893,4.429,564240.0,120284.593862
688088,虹软科技,0.654,75.43,74.94,75.6,74.01,74.94,1102164,2.67567,82637684,137.145,11.974,3062458.0,310712.176246
688086,紫晶存储,-0.666,62.6,62.6,63.44,61.7,63.02,2561986,5.86911,159885503,64.536,6.63,1191788.20878,273261.82048
688085,三友医疗,-7.131,69.81,73.0,74.49,68.26,75.17,3617013,8.51374,254774522,109.078,23.905,1433433.1635,296583.791868
688081,兴图新科,-2.417,43.61,44.15,44.18,43.36,44.69,1163258,6.95547,50788606,46.394,4.578,320969.6,72934.97757
688080,XD映翰通,-2.064,91.58,93.74,94.76,90.9,93.51,931121,7.80716,86020775,69.379,7.646,480142.822188,109222.905316
688078,龙软科技,-2.227,41.7,41.5,42.39,41.11,42.65,1569062,9.7463,65313713,46.854,6.176,295027.5,67133.06352
688068,热景生物,-5.313,64.87,68.0,68.0,63.32,68.51,3865553,27.33769,252010062,96.821,6.249,403467.664067,91726.270818
688066,航天宏图,-2.28,52.3,52.3,52.74,51.56,53.52,2491010,6.21624,129747224,88.644,7.431,868092.83159,209579.698
688058,宝兰德,0.044,135.66,134.8,137.87,133.2,135.6,663605,6.98532,90148436,70.29,5.785,542640.0,128877.0
688051,佳华科技,-0.301,116.1,115.21,122.57,115.11,116.45,1869156,10.55709,223940644,54.764,6.454,897847.74,205557.6042
688039,当虹科技,-0.319,93.8,93.7,94.72,92.17,94.1,705739,4.10313,66093810,68.467,5.3629999999999995,750400.0,161336.0
688037,芯源微,2.422,116.27,113.31,117.92,113.22,113.52,2367536,12.12613,275481141,252.761,13.074,976668.0,227008.45475
688036,传音控股,-1.028,62.55,63.11,63.88,61.05,63.2,2986772,3.9317200000000003,185423114,25.847,5.7780000000000005,5004000.0,475168.04307
688033,天宜上佳,0.911,25.47,25.29,25.65,25.21,25.24,1756508,3.82545,44676584,39.797,4.838,1142933.617836,116948.887416
688030,山石网科,2.32,45.42,43.8,46.03,43.5,44.39,3409544,8.82135,152950197,73.046,6.295,818574.928068,175553.13723
688029,南微医学,2.001,210.0,205.88,210.99,204.58,205.88,651963,2.0249800000000002,135599570,78.779,11.098,2800140.0,676117.134
688028,沃尔德,0.189,52.89,52.98,53.3,52.61,52.79,796122,4.06375,42111957,60.102,4.83,423120.0,103615.7412
688026,洁特生物,-6.496,81.32,85.5,86.87,80.51,86.97,3278261,14.4568,270929213,92.409,10.686,813200.0,184403.281264
688025,杰普特,-1.435,50.81,51.63,52.5,50.52,51.55,917149,4.13718,47201818,57.739,2.975,469324.734656,112637.940179
688023,安恒信息,3.263,271.88,263.29,272.0,262.75,263.29,312460,1.9292,84255617,167.827,13.367,2013925.9511,440345.330656
688022,瀚川智能,-1.267,42.85,43.36,43.36,42.52,43.4,916335,3.48573,39316665,54.241,5.353,462780.0,112644.937
688021,奥福环保,5.053,74.85,71.1,80.2,69.68,71.25,4105367,21.60719,312512586,88.059,6.789,578467.62624,142215.0
688020,方邦股份,0.784,100.3,99.52,101.5,98.69,99.52,888893,4.62965,89092344,53.351,5.152,802400.0,192576.0
688019,安集科技,4.444,290.0,277.66,294.0,277.66,277.66,940422,7.70456,270462041,200.0,16.904,1540143.02,353975.16
688018,乐鑫科技,1.663,182.82,179.83,182.96,179.23,179.83,443618,2.4163,80627166,78.815,9.396,1462560.0,335647.00785
688016,心脉医疗,-0.711,282.16,283.27,285.0,272.86,284.18,356500,2.42066,99205975,122.147,18.045,2030935.395752,415547.838728
688015,交控科技,1.448,45.55,44.8,45.98,44.4,44.9,1807505,5.23247,82106080,48.978,6.587,728800.0,157347.92
688012,中微公司,5.665,206.28,196.75,208.8,195.0,195.22,3734984,7.2639700000000005,761761703,557.514,29.208,11033138.224836,1060649.926416
688011,新光光电,-4.545,42.0,43.0,43.0,41.76,44.0,2480984,10.35908,104901459,59.322,3.436,420000.0,100589.3952
688010,福光股份,-1.539,39.02,39.3,39.4,38.7,39.63,1569284,4.17208,61215734,55.442,3.336,599276.741586,146769.664116
688009,中国通号,0.164,6.1,6.09,6.13,6.07,6.09,15508296,1.23082,94762054,16.053,1.666,6459789.59,768600.0
688008,澜起科技,3.374,88.25,85.5,88.79,85.5,85.37,3966978,5.01585,347794462,100.284,12.98,9970607.570425,697958.739425
688007,光峰科技,-1.109,25.87,26.25,26.39,25.76,26.16,1526070,2.51282,39639374,57.489,5.837,1168171.261257,157111.911905
688006,杭可科技,-2.264,45.33,46.2,46.27,42.6,46.38,3285242,8.21005,145080055,58.87,8.001,1817733.0,181387.5417
688005,容百科技,-0.38,34.07,34.2,34.33,33.72,34.2,1280884,2.96501,43582828,162.238,3.483,1510274.3799,147182.4
688004,博汇科技,-0.917,107.0,108.5,117.79,107.0,107.99,4658942,36.21648,523336637,89.532,0.0,607760.0,137646.405
688003,天准科技,-1.126,28.97,29.49,29.5,28.85,29.3,1816926,3.9104,52827926,57.594,3.433,560859.2,134606.208
688002,睿创微纳,-1.367,48.34,48.8,49.48,47.95,49.01,2310573,4.23182,112197238,98.093,8.863,2151130.0,263936.4
688001,华兴源创,0.55,45.7,45.55,45.99,45.0,45.45,2376276,6.17998,108113565,97.234,9.611,1832570.0,175721.96572
605288,凯迪股份,-2.189,122.9,125.8,128.26,122.88,125.65,1351510,10.81208,168524398,21.337,6.154,614500.0,153625.0
605168,三人行,-9.338,260.19,285.0,292.0,258.8,286.99,5572813,32.27492,1518026452,69.57,32.322,1797046.4673,449262.2673
605166,N聚合顺,43.972,10.15,8.46,10.15,8.46,7.05,248864,0.31547000000000003,2522590,24.167,4.2620000000000005,320280.205,80070.305
605001,威奥股份,1.541,22.41,21.91,22.64,21.78,22.07,7670048,10.15094,170910029,21.548000000000002,3.197,677275.02,169329.96
603999,读者传媒,-2.96,6.23,6.39,6.44,6.22,6.42,9409400,1.63358,59276292,56.636,2.112,358848.0,358848.0
603998,方盛制药,-1.059,6.54,6.59,6.72,6.48,6.61,6197790,1.44489,40664526,34.421,2.478,283734.44688,280529.84688
603997,继峰股份,1.329,6.86,6.77,6.94,6.72,6.77,7233265,1.14386,49392601,23.655,1.54,702191.603806,433794.3638
603996,*ST中新,-0.913,2.17,2.19,2.23,2.17,2.19,1366450,0.45526000000000005,2994924,-0.334,-1.099,65132.55,65132.55
603995,甬金股份,3.017,22.88,22.15,23.3,22.11,22.21,5113927,8.86757,117143178,11.917,1.788,527772.96,131948.96
603993,洛阳钼业,0.0,3.78,3.78,3.86,3.73,3.78,172187994,0.9747,653807776,42.0,2.001,8164512.940374,6677662.036374
