code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
688278,特宝生物,10.92,68.36,60.0,68.36,54.88,61.63,5878645,15.38708,357467754,379.778,30.346999999999998,2780884.8,261169.93371599997
605166,N聚合顺,43.972,10.15,8.46,10.15,8.46,7.05,248864,0.31547000000000003,2522590,24.166999999999998,4.2620000000000005,320280.205,80070.305
603991,至正股份,9.993,32.91,29.92,32.91,29.65,29.92,3659494,4.90977,116859436,-42.74,6.035,245294.678418,245294.678418
603903,中持股份,10.017999999999999,18.34,16.61,18.34,16.51,16.67,12386493,8.589030000000001,223217428,23.818,2.873,265071.83472,264486.42192
603811,诚意药业,10.008,27.04,25.52,27.04,25.52,24.58,13577047,8.130360000000001,362181930,24.581999999999997,4.13,451546.36799999996,451546.36799999996
603738,泰晶科技,10.01,22.97,21.6,22.97,21.59,20.88,20751256,12.19272,470255199,328.14300000000003,5.138,390935.15400599997,390935.15400599997
603661,恒林股份,10.002,45.97,42.27,45.97,42.11,41.79,2917745,10.14868,129150531,18.918,1.806,459700.0,132163.75
603559,中通国脉,9.995,22.78,20.6,22.78,20.33,20.71,16361008,11.416260000000001,352982543,189.833,3.77,326467.485546,326467.485546
603353,和顺石油,10.0,52.8,48.0,52.8,47.05,48.0,7511312,22.50243,382818893,32.593,4.5680000000000005,704246.4,176246.4
603330,上海天洋,9.991,24.88,22.85,24.88,22.85,22.62,3245418,2.9719900000000004,78721724,155.5,4.407,271689.6,271689.6
601699,潞安环能,9.765,6.07,5.55,6.08,5.52,5.53,85632739,2.86262,501766389,7.587999999999999,0.6970000000000001,1815785.3844,1815785.3844
601005,重庆钢铁,10.127,1.74,1.74,1.74,1.7,1.58,139700698,1.66698,243033769,17.4,0.8029999999999999,1551836.794458,1458202.661658
600884,杉杉股份,9.978,15.32,13.84,15.32,13.8,13.93,90237614,8.03709,1345893858,63.833,1.5470000000000002,1720075.958552,1720075.958552
600827,百联股份,10.007,14.73,14.55,14.73,14.21,13.39,130145472,8.11153,1905627103,27.278000000000002,1.485,2628079.636341,2363354.7321599997
600824,益民集团,10.0,5.17,5.17,5.17,5.17,4.7,4932329,0.46795,25500141,62.288999999999994,2.199,544931.996741,544931.996741
600804,鹏博士,9.987,8.7,7.87,8.7,7.85,7.91,110947150,7.745769999999999,942465397,-2.753,16.304000000000002,1246183.0401299999,1246151.33733
600511,国药股份,10.003,40.25,40.25,40.25,38.13,36.59,92834176,16.77686,3680842200,19.121,2.818,3036874.56695,2227219.3566
600488,天药股份,10.019,5.71,5.71,5.71,5.71,5.19,20235434,2.07207,115544328,42.931999999999995,2.11,628617.7142800001,557626.475386
600459,贵研铂业,9.984,26.99,24.71,26.99,24.65,24.54,36522868,8.34412,963482151,48.196000000000005,3.52,1181373.921689,1181373.921689
600397,安源煤业,10.0,2.31,2.1,2.31,2.08,2.1,20327681,2.0533799999999998,45938161,120.31299999999999,2.9189999999999996,228680.73274200002,228680.73274200002
600198,大唐电信,10.015,14.39,13.04,14.39,13.04,13.08,46702110,5.30432,646800660,-14.115,-227.33,1269354.091208,1266974.363665
600121,郑州煤电,9.836,2.01,1.83,2.01,1.81,1.83,30965941,2.5415,61131448,-2.657,0.932,244900.81963800002,244900.81963800002
600117,西宁特钢,9.967,3.31,3.01,3.31,2.98,3.01,45905708,4.39239,149919218,36.778,2.71,345934.141412,345934.141412
300842,N帝科,43.985,22.98,20.85,22.98,20.85,15.96,40928,0.16371000000000002,939440,24.447,3.9339999999999997,229800.0,57450.0
300841,康华生物,10.004,122.61,122.61,122.61,122.61,111.46,13092,0.08728000000000001,1605210,29.545,8.572000000000001,735660.0,183915.0
300782,卓胜微,9.999,634.52,587.1,634.52,585.01,576.84,2621105,4.45993,1622297292,111.67399999999999,34.15,6345200.0,3729080.258296
300729,乐歌股份,9.991,46.35,44.2,46.35,44.0,42.14,4078659,16.22806,186439912,63.493,4.906000000000001,404314.89705,116493.183855
300624,万兴科技,10.0,66.44,60.4,66.44,60.11,60.4,9606829,12.05757,619573091,61.519,7.047000000000001,864086.7488,529358.414464
300612,宣亚国际,10.029,18.76,17.05,18.76,16.9,17.05,11913807,11.96166,215461856,268.0,7.649,303912.0,186849.4593
300592,华凯创意,10.017000000000001,12.96,12.96,12.96,12.9,11.78,5212407,5.47807,67551070,198.773,3.147,158605.9056,123315.0156
300525,博思软件,10.006,34.19,30.92,34.19,30.86,31.08,11869869,6.43706,393600878,62.505,6.242999999999999,951544.5704959999,630459.627122
300512,中亚股份,9.964,12.25,11.28,12.25,11.2,11.14,12180464,5.6266,145863102,30.625,2.343,330750.0,265188.0147
300502,新易盛,10.01,57.59,52.31,57.59,51.01,52.35,16484246,6.88963,921649150,63.571999999999996,9.799,1906475.54279,1377908.032397
300433,蓝思科技,10.023,24.15,21.76,24.15,21.76,21.95,131395791,3.00734,3073641128,38.952,4.336,10587015.517155001,10551535.858605001
300431,暴风集团,10.056000000000001,1.97,1.82,1.97,1.76,1.79,50476506,20.28295,95711148,-0.585,-1.0190000000000001,64916.329061000004,49025.775782
300419,浩丰科技,9.609,6.16,5.85,6.18,5.71,5.62,25732023,6.99708,154176570,-77.0,2.7710000000000004,226536.32231999998,226536.32231999998
300374,恒通科技,10.039,14.14,12.92,14.14,12.92,12.85,3730307,2.18893,51749331,52.37,2.27,347720.044518,240969.10775
300334,津膜科技,9.959,8.06,8.06,8.06,8.06,7.33,5626701,1.92265,45351210,-2.931,3.095,243464.676936,235879.057102
300293,蓝英装备,9.985,14.32,13.0,14.32,12.82,13.02,40215037,14.89446,555819098,238.667,5.098,386640.0,386640.0
300285,国瓷材料,9.634,30.27,28.74,30.37,28.74,27.61,47113040,6.24721,1402495803,58.211999999999996,7.74,2916033.385593,2282797.117809
300207,欣旺达,10.019,17.57,16.03,17.57,16.01,15.97,96930775,6.9948,1649085151,35.857,4.8069999999999995,2756970.776567,2434771.5648689996
300097,智云股份,10.0,14.96,13.58,14.96,13.58,13.6,24999896,11.50248,360526067,-5.937,3.465,431670.304824,325145.93733600003
002909,集泰股份,10.012,9.34,8.94,9.34,8.79,8.49,21321710,20.53207,196960137,18.314,3.011,218371.78998200002,96992.044448
002903,宇环数控,10.04,13.92,13.92,13.92,13.53,12.65,8223865,12.4604,114111676,464.0,3.469,211632.72,91872.0
002827,高争民爆,10.0,12.43,10.96,12.43,10.96,11.3,11411744,4.1348,135409439,138.111,4.5680000000000005,343068.0,343058.982035
002666,德联集团,9.937000000000001,6.97,6.65,6.97,6.6,6.34,63334074,14.3149,433037385,24.034000000000002,1.747,525767.499796,308376.879956
002635,安洁科技,9.995,23.33,21.01,23.33,21.0,21.21,60765043,16.760070000000002,1357628351,-25.359,2.7680000000000002,1482151.35384,845848.896512
002576,通达动力,10.009,11.76,10.71,11.76,10.56,10.69,21708023,13.203170000000002,241046199,56.0,2.151,194157.6,193352.338704
002425,凯撒文化,10.037,15.02,15.02,15.02,15.02,13.65,5413620,0.66591,81312572,57.769,2.928,1222244.136864,1221073.8265280002
002279,久其软件,9.987,8.15,8.15,8.15,7.87,7.41,160498418,26.307140000000004,1301274834,110.884,7.587000000000001,579672.7435,497227.00283
002196,方正电机,10.041,5.37,4.97,5.37,4.91,4.88,16523784,4.02588,87982540,134.25,1.206,251689.17741,220405.758036
002083,孚日股份,10.095,5.78,5.59,5.78,5.46,5.25,38850787,4.40336,219955448,13.442,1.359,524824.00289,509968.79021000006
000913,钱江摩托,9.961,11.37,10.81,11.37,10.65,10.34,22728875,5.011480000000001,256204244,22.74,1.9,515670.43200000003,515670.43200000003
000638,万方发展,10.099,4.47,4.05,4.47,4.0,4.06,7979427,2.579,34867433,149.0,9.007,138301.8,138301.8
000526,紫光学大,9.992,52.84,50.0,52.84,49.08,48.04,4318784,4.48961,222522345,366.69,59.801,508294.945388,508294.945388
000030,富奥股份,10.09,6.11,5.6,6.11,5.57,5.55,40216280,2.28517,238219790,12.22,1.632,1106247.339821,1075287.21157
